Name,Description,SnapshotId,Region,Encrypted,OwnerId,StartTime,VolumeId,VolumeSize,StorageTier,RestoreExpiryTime,Tags
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-06a492d60f677393f,snap-01d4ec82dd32dc072,us-east-1,False,993814764642,2023-04-05 08:49:20.834000+00:00,vol-947259d7,80,standard,,"""Name"": ""DataHub4 C Drive"", ""aws:backup:source-resource"": ""i-f5b79090:16F19F06-7951-F580-3180-BCD98AB5195C"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-08c6df931d246e304,snap-063e2e5ad6f8c0f57,us-east-1,False,993814764642,2023-04-05 08:32:14.876000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:6983DAA9-1E70-8183-42A4-5592519BFD1F"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-03461f6a4f479d5d6,snap-03f9d64346803d230,us-east-1,False,993814764642,2023-04-05 07:05:23.936000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:9F9F228A-1778-AEF7-C056-5BE433CB5330"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-053ce313363a8a12f,snap-0a6dd86c078aa1710,us-east-1,False,993814764642,2023-03-29 07:10:17.252000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:A19D9DA5-2CC9-0D37-2CF1-B7FB705C0A8F"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-0bf3c3493b825e351,snap-0c8b8ebbddba647dc,us-east-1,False,993814764642,2023-03-25 08:43:09.776000+00:00,vol-947259d7,80,standard,,"""Name"": ""DataHub4 C Drive"", ""aws:backup:source-resource"": ""i-f5b79090:189BE2EE-A4AD-3CC2-2DF9-B4CB9122B546"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-0b617d5184b72d4e9,snap-0c26f3d2e531e78ed,us-east-1,False,993814764642,2023-03-25 08:31:12.676000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:8F626AFC-CA78-9CAD-29AC-FBFBA66BF1E3"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0e3decd97297359a8,snap-0f7008dfd57fba213,us-east-1,False,993814764642,2023-03-25 07:08:37.347000+00:00,vol-0519557e3c89d15a6,80,standard,,"""Name"": ""WebFront2"", ""aws:backup:source-resource"": ""i-03258b739120ff3c3:41258824-A50E-901A-42E6-7AB1213B51AD"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-08172ea0d6cf0e741,snap-090860e4c28ec0298,us-east-1,False,993814764642,2023-03-22 08:41:12.984000+00:00,vol-947259d7,80,standard,,"""Name"": ""DataHub4 C Drive"", ""aws:backup:source-resource"": ""i-f5b79090:44FA39CA-5ACE-8EFD-6243-3346924F2486"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-042babb7c3f49b56d,snap-08864a35cd46e0bc1,us-east-1,False,993814764642,2023-03-18 07:14:42.847000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:D1279DB8-ECDA-CF9F-4C9C-C2DBC275F6C7"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-0b510407a69367a4f,snap-0ba513d6386a4a1db,us-east-1,False,993814764642,2023-03-15 08:33:58.971000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:A998E4A4-BE6D-25B0-06B5-B3CA43E1A4D4"""
